n,kit,key,bpm,meter,feel,swing,parts,clips
1,Nightpulse,Fm,68,4/4,ritual,,"drums,bass,lead,counter,chords",30
2,Glasskid,Cm,120,4/4,pushing,,"drums,bass,lead,counter,chords",30
3,Hillrunner,Am,108,4/4,pushing,,"drums,bass,lead,counter,chords,arp",36
4,Lowgold,Ddor,84,4/4,laidback,yes,"drums,bass,lead,counter,chords",30
5,Seaglass,Cmaj,92,4/4,laidback,,"drums,bass,lead,counter,chords,arp",36
6,Ironveil,Am,126,4/4,pushing,,"drums,bass,lead,counter,chords",30
7,Holloway,F#m,76,4/4,laidback,yes,"drums,bass,lead,counter,chords",30
8,Morningvow,Gmaj,72,6/8,laidback,,"drums,bass,lead,counter,chords,arp",36
9,Duskwire,Em,100,4/4,laidback,,"drums,bass,lead,counter,chords,arp",36
10,Autoglide,Cmix,120,4/4,pushing,,"drums,bass,lead,counter,chords",30
11,Veilfire,Bm,112,4/4,pushing,,"drums,bass,lead,counter,chords",30
12,Palefen,Dm,96,4/4,laidback,,"drums,bass,lead,counter,chords,arp",35
13,Redloam,Em,54,12/8,ritual,,"drums,bass,lead,counter,chords",30
14,Chromehall,Gm,100,4/4,pushing,,"drums,bass,lead,counter,chords",30
15,Thornfield,Ephr,92,4/4,ritual,,"drums,bass,lead,counter,chords",30
16,Brightwork,Ador,116,4/4,laidback,,"drums,bass,lead,counter,chords",30
17,Saltcode,F#m,132,4/4,laidback,yes,"drums,bass,lead,counter,chords",30
18,Mirrorlake,Fmaj,86,4/4,laidback,yes,"drums,bass,lead,counter,chords",30
19,Nightshift,Am,60,4/4,laidback,yes,"drums,bass,lead,counter,chords",30
20,Stonecircle,Ddor,78,4/4,ritual,,"drums,bass,lead,counter,chords",30
21,Acidbath,Am,130,4/4,pushing,,"drums,bass,lead,counter,chords",30
22,Winterlight,Cmaj,76,4/4,laidback,,"drums,bass,lead,counter,chords,arp",36
